id,lat,long
2,33.1580933,-117.3505938
3,37.3361905,-121.8905832
6,8.3096067,-81.3066245
7,37.3361905,-121.8905832
8,40.7305991,-73.9865811
11,42.500096,-70.8578252
12,37.3855745,-122.0820499
13,37.3361905,-121.8905832
14,52.3745403,4.89797550561798
15,18.4257128,-64.6232226
17,42.6977211,23.3225964
19,47.6859573,-122.1920248
20,38.0464066,-84.4970392
22,51.5073219,-0.1276473
24,42.0415823,-87.8873915
25,39.9059631,116.391248
26,47.6859573,-122.1920248
39,52.5170365,13.3888599
40,52.0601807,-1.3402794
41,8.3096067,-81.3066245
42,18.4257128,-64.6232226
47,41.1399814,-104.8202461
48,26.1223084,-80.1433785
49,48.2083537,16.3725042
50,48.2083537,16.3725042
51,47.6859573,-122.1920248
57,37.5600336,-122.2688521
163,52.6001854,10.9366498
169,38.901301,-77.2651589
170,29.456179,-98.6634069
171,42.3750997,-71.1056156
173,45.5202471,-122.6741948
174,-28.0591421,153.4392132
178,48.7784485,9.1800132
180,43.6529206,-79.3849007
181,41.8755546,-87.6244211
186,40.7305991,-73.9865811
192,38.8949549,-77.0366455
193,45.497684,-73.6125179
194,34.712209,135.50565
195,27.9477595,-82.4584439
198,50.735851,7.10066
200,34.019657,-118.4875489
202,33.4485866,-112.0773455
204,55.7552973,12.5671103
206,8.3096067,-81.3066245
207,-41.4135347,148.2781622
208,47.6694141,-122.1238766
211,47.6859573,-122.1920248
216,17.1393977,-62.6216153
217,53.3497645,-6.2602731
218,55.6867243,12.5700724
223,51.0447236,3.7588813
242,48.0021322,7.823903
244,48.0021322,7.823903
245,52.8063157,-2.1163817
250,36.1662859,-115.1492249
266,46.8894589,7.3110208
269,40.7305991,-73.9865811
272,44.4723989,-73.211494
274,37.3855745,-122.0820499
276,57.7072326,11.9670171
277,-27.4562466,153.0358184
278,39.7391536,-104.9847033
279,37.5666791,126.9782914
280,47.134654,8.6133186
281,37.3855745,-122.0820499
282,19.32988935,-81.1712870647512
284,51.5073219,-0.1276473
286,50.6981867,11.9127009
290,40.7305991,-73.9865811
294,8.3096067,-81.3066245
295,40.7305991,-73.9865811
298,39.7391536,-104.9847033
299,40.6501038,-73.9495822
302,52.08095165,5.12768031549829
304,-6.2819943,106.804890108416
310,-41.3107922,173.2333221
312,44.1445268,-68.3133486
315,37.3688301,-122.0363495
320,37.3688301,-122.0363495
376,37.496904,-122.3330572
662,8.3096067,-81.3066245
685,21.97691025,113.930765472506
695,-12.0621064,-77.0365255
696,41.3164856,-73.093164
697,39.2908816,-76.6107589
716,34.1458389,-118.8056473
760,55.3997225,10.3852104
762,-33.8845122,151.2100301
763,-33.8845122,151.2100301
766,32.0804808,34.7805274
770,51.5073219,-0.1276473
773,39.9059631,116.391248
775,30.3321838,-81.6556509
776,22.2793278,114.1628131
777,29.456179,-98.6634069
779,37.3361905,-121.8905832
783,40.7987113,-74.2390352
787,33.5091215,-111.8992364
794,52.2033051,0.124862
798,29.456179,-98.6634069
799,42.9632405,-85.6678638
802,44.4723989,-73.211494
803,43.6529206,-79.3849007
804,59.3251172,18.0710935
805,45.5202471,-122.6741948
806,58.4113704,15.6245048
808,-41.4135347,148.2781622
809,41.0096334,28.9651646
810,27.9477595,-82.4584439
820,42.3756401,-71.2358003
821,-36.8534664,174.7655514
824,47.4983815,19.0404707
825,47.4983815,19.0404707
828,52.2609997,-7.111908
830,39.2908816,-76.6107589
832,19.32988935,-81.1712870647512
833,48.5112961,14.5047566
834,47.6859573,-122.1920248
839,41.0036719,-80.347009
845,40.0726519,-75.4562462411158
846,33.6856969,-117.8259818
848,47.6144219,-122.1923371
849,37.3855745,-122.0820499
852,48.2083537,16.3725042
857,45.497684,-73.6125179
858,38.9584018,-77.3579742
859,49.4093582,8.694724
860,37.496904,-122.3330572
861,35.9940329,-78.8986189
864,51.5073219,-0.1276473
865,18.4257128,-64.6232226
866,30.3321838,-81.6556509
890,52.5170365,13.3888599
893,26.1223084,-80.1433785
894,39.1014537,-84.5124601
896,45.6523093,25.6102746
897,40.7305991,-73.9865811
899,44.4723989,-73.211494
900,47.9960325,-4.1024781
903,32.7762719,-96.7968558
906,39.52927,-119.8136743
907,51.02532675,-114.049868389119
916,34.0543942,-118.2439408
918,37.3855745,-122.0820499
920,37.7792808,-122.4192362
927,39.52927,-119.8136743
929,37.4538274,-122.182187
931,29.456179,-98.6634069
932,8.3096067,-81.3066245
933,19.32988935,-81.1712870647512
939,42.6055893,-83.1499303
941,35.664752,139.698096
943,49.8158683,6.1296751
944,52.5170365,13.3888599
945,34.712209,135.50565
946,54.0484068,-2.7990344
992,19.34092795,-81.3816358595052
993,50.9974235,5.8666627
995,59.3251172,18.0710935
997,19.34092795,-81.3816358595052
1000,30.3321838,-81.6556509
1002,30.3321838,-81.6556509
1037,38.5565041,-75.571314
1038,-27.4562466,153.0358184
1039,47.6859573,-122.1920248
1045,8.3096067,-81.3066245
1046,49.8371707,18.2399053
1049,50.9842166,4.4650814
1051,30.3321838,-81.6556509
1052,41.3677894,21.2524233
1054,50.9929303,7.1277379
1055,8.3096067,-81.3066245
1056,47.6694141,-122.1238766
1057,47.6694141,-122.1238766
1059,32.8191218,34.9983856
1060,30.3321838,-81.6556509
1061,43.6529206,-79.3849007
1066,34.0543942,-118.2439408
1071,33.5091215,-111.8992364
1072,28.5421175,-81.3790461
1074,-27.4562466,153.0358184
1076,37.5318804,-122.2480218
1077,37.3688301,-122.0363495
1087,32.8191218,34.9983856
1088,33.4485866,-112.0773455
1091,25.7742658,-80.1936588
1092,32.0804808,34.7805274
1093,30.3321838,-81.6556509
1099,8.3096067,-81.3066245
1107,8.3096067,-81.3066245
1108,8.3096067,-81.3066245
1109,8.3096067,-81.3066245
1111,10.7888764,106.7034958
1112,49.6319031,6.2672692
1115,30.001852,-90.1767148159888
1116,37.7792808,-122.4192362
1118,-27.4562466,153.0358184
1121,18.4257128,-64.6232226
1123,51.5073219,-0.1276473
1125,8.3096067,-81.3066245
1130,47.6859573,-122.1920248
1135,37.3855745,-122.0820499
1137,40.7305991,-73.9865811
1138,40.7305991,-73.9865811
1139,30.3321838,-81.6556509
1142,42.2694308,-71.6129906
1143,8.3096067,-81.3066245
1145,34.1458389,-118.8056473
1146,43.6529206,-79.3849007
1147,51.5073219,-0.1276473
1149,32.7762719,-96.7968558
1154,22.3115797,114.187145
1156,39.7391536,-104.9847033
1157,34.1458389,-118.8056473
1158,43.61656,-116.2008349
1159,43.61656,-116.2008349
1160,27.3364347,-82.5306526
1162,39.745947,-75.5465889
1163,36.1451465,-5.3484847
1165,17.4952119,-88.201744
1167,48.9972794,-122.2655258
1168,40.7305991,-73.9865811
1174,43.7709163,-79.4124101
1176,30.3321838,-81.6556509
1177,52.08653175,5.24900804050379
1178,49.61102165,6.1794019866686
1183,34.0543942,-118.2439408
1185,8.3096067,-81.3066245
1186,48.8566101,2.3514992
1190,32.0309712,34.8523936
1192,27.9658533,-82.8001025
1194,-28.0591421,153.4392132
1201,-37.8142175,144.9631608
1204,51.5073219,-0.1276473
1205,30.3321838,-81.6556509
1210,34.1458389,-118.8056473
1211,39.9167783,-75.3876929
1240,45.0722056,-93.1282877
1244,19.34092795,-81.3816358595052
1245,35.9127609,14.5020708
1250,50.0874654,14.4212503
1252,-28.0591421,153.4392132
1256,39.0844687,-94.5630297
1262,43.6529206,-79.3849007
1264,53.2181706,6.5639048
1265,-27.4562466,153.0358184
1267,59.3251172,18.0710935
1269,51.6553875,-0.3957424
1270,41.8755546,-87.6244211
1272,37.7792808,-122.4192362
1274,40.4167047,-3.7035824
1277,34.0543942,-118.2439408
1278,35.6507713,139.4462675
1279,44.9127229,-93.4990589
1280,42.3604823,-71.0595677
1281,44.9127229,-93.4990589
1282,40.4278841,-74.4159839
1289,51.5073219,-0.1276473
1290,47.2003055,8.7780752
1292,40.7305991,-73.9865811
1293,37.3855745,-122.0820499
1295,37.3855745,-122.0820499
1301,31.3462391,130.9498061
1306,41.018139,-75.9949251
1309,37.3361905,-121.8905832
1311,49.8158683,6.1296751
1312,48.1371079,11.5753822
1315,37.7792808,-122.4192362
1319,-27.4562466,153.0358184
1321,40.7305991,-73.9865811
1331,51.7648597,5.51170002460551
1340,34.1816482,-118.3258553
1345,33.4485866,-112.0773455
1346,8.3096067,-81.3066245
1351,19.34092795,-81.3816358595052
1353,19.32988935,-81.1712870647512
1360,52.3745403,4.89797550561798
1361,52.3745403,4.89797550561798
1363,43.6529206,-79.3849007
1366,40.7139415,-73.8307419
1367,46.2017559,6.1466014
1369,34.1458389,-118.8056473
1379,42.3756401,-71.2358003
1384,51.5073219,-0.1276473
1385,-28.0591421,153.4392132
1386,55.3997225,10.3852104
1388,37.3688301,-122.0363495
1392,43.6529206,-79.3849007
1393,43.6529206,-79.3849007
1399,37.3934861,127.1772294
1401,45.4667971,9.1904984
1402,40.8682487,-88.5631124
1404,42.5877962,-72.6006198
1405,8.3096067,-81.3066245
1408,47.6859573,-122.1920248
1409,42.3756401,-71.2358003
1410,40.7978787,-73.6995748
1412,8.3096067,-81.3066245
1414,55.7029296,13.1929449
1422,10.3090298,123.8930839
1423,34.0709576,-84.2747328
1425,1.2904527,103.852038
1427,40.7305991,-73.9865811
1432,41.931696,-87.9889555
1433,37.3855745,-122.0820499
1435,37.3855745,-122.0820499
1436,43.4655524,-80.5217785
1440,52.2033051,0.124862
1441,34.1458389,-118.8056473
1448,59.3251172,18.0710935
1452,30.2711286,-97.7436994
1455,19.34092795,-81.3816358595052
1457,44.7476897,-1.0925183
1461,37.3361905,-121.8905832
1467,39.7391536,-104.9847033
1468,29.456179,-98.6634069
1473,51.4530853,-0.3591643
1475,30.3321838,-81.6556509
1484,35.664752,139.698096
1486,39.7391536,-104.9847033
1488,32.8191218,34.9983856
1490,49.9902794,36.2303893
1492,40.9312099,-73.8987468
1496,36.1662859,-115.1492249
1505,38.0464066,-84.4970392
1512,47.6859573,-122.1920248
1523,42.0333608,-88.0834059
1525,32.7174209,-117.1627713
1527,34.019657,-118.4875489
1531,43.7709163,-79.4124101
1534,42.0255827,-88.1784084
1535,41.0534302,-73.538734
1536,41.0534302,-73.538734
1537,22.2793278,114.1628131
1540,51.5073219,-0.1276473
1548,47.6859573,-122.1920248
1551,40.0726519,-75.4562462411158
1553,51.5073219,-0.1276473
1567,41.018139,-75.9949251
1571,-6.1753941,106.8271826
1572,37.7792808,-122.4192362
1582,36.1662859,-115.1492249
1587,34.1476452,-118.1444778
1588,50.938361,6.959974
1595,30.3321838,-81.6556509
1596,47.6694141,-122.1238766
1597,35.3985008,127.937111
1598,26.1223084,-80.1433785
1599,43.6529206,-79.3849007
1607,37.4538274,-122.182187
1608,47.6859573,-122.1920248
1610,50.4501071,30.5240501
1611,43.6529206,-79.3849007
1613,43.7709163,-79.4124101
1619,52.51456525,6.09772035967769
1622,47.6038321,-122.3300623
1623,51.5073219,-0.1276473
1629,53.4791301,-2.2441008
1631,-27.4562466,153.0358184
1632,34.019657,-118.4875489
1640,37.3855745,-122.0820499
1642,26.1223084,-80.1433785
1647,41.018139,-75.9949251
1652,48.8566101,2.3514992
1653,34.1458389,-118.8056473
1655,51.92779805,4.48862326925829
1659,41.0096334,28.9651646
1661,38.7745565,-75.1393497
1662,47.6859573,-122.1920248
1664,48.777449,2.2934309
1665,8.3096067,-81.3066245
1666,43.6529206,-79.3849007
1669,43.3995734,-3.8173396
1672,32.7762719,-96.7968558
1673,43.1257311,5.9304919
1674,8.3096067,-81.3066245
1678,37.3855745,-122.0820499
1679,48.8566101,2.3514992
1682,37.4538274,-122.182187
1683,51.1857892,-0.6149073
1685,40.7305991,-73.9865811
1686,55.6867243,12.5700724
1687,37.3855745,-122.0820499
1689,41.8755546,-87.6244211
1690,47.6038321,-122.3300623
1694,37.3688301,-122.0363495
1696,51.5073219,-0.1276473
1697,8.3096067,-81.3066245
1699,17.1393977,-62.6216153
1700,48.4680221,35.0417711
1702,48.4680221,35.0417711
1703,30.5960213,114.2992796
1706,30.2711286,-97.7436994
1707,49.6319031,6.2672692
1710,43.6529206,-79.3849007
1711,48.1371079,11.5753822
1712,37.3361905,-121.8905832
1714,50.8031684,6.4820806
1715,37.3361905,-121.8905832
1716,35.664752,139.698096
1718,47.6859573,-122.1920248
1720,49.5544444,3.3705556
1722,46.2017559,6.1466014
1723,51.3813864,-2.3596962
1725,47.6859573,-122.1920248
1727,40.7305991,-73.9865811
1733,32.6496497,-16.9086782
1737,45.5202471,-122.6741948
1742,52.5170365,13.3888599
1744,47.6859573,-122.1920248
1757,48.2083537,16.3725042
1758,48.2083537,16.3725042
1760,37.3361905,-121.8905832
1761,43.7847162,-79.5921038
1762,37.3361905,-121.8905832
1763,8.3096067,-81.3066245
1764,8.3096067,-81.3066245
1765,32.7762719,-96.7968558
1766,44.9127229,-93.4990589
1771,47.6859573,-122.1920248
1772,33.911454,-118.3481599
1773,26.075729,-80.2841088753086
1777,43.6529206,-79.3849007
1783,44.680372,-63.5723879
1786,40.7305991,-73.9865811
1787,37.3688301,-122.0363495
1789,48.8566101,2.3514992
1790,25.7742658,-80.1936588
1799,50.4950632,12.1346523
1800,45.4667971,9.1904984
1802,43.6529206,-79.3849007
1803,49.2691595,2.2346383
1804,55.7718649,12.5051413
1811,19.34092795,-81.3816358595052
1812,19.32988935,-81.1712870647512
1813,43.7709163,-79.4124101
1814,52.52329395,4.73746699027213
1819,34.0543942,-118.2439408
1823,37.7792808,-122.4192362
1824,51.5073219,-0.1276473
1825,47.6859573,-122.1920248
1826,47.6859573,-122.1920248
1827,8.3096067,-81.3066245
1828,36.1476003,-5.3590033
1833,46.1596214,0.3188483
1836,-27.4562466,153.0358184
1843,52.5170365,13.3888599
1844,8.3096067,-81.3066245
1845,30.3321838,-81.6556509
1847,10.0037514,-84.0818248
1851,51.8799104,5.2877621
1854,-41.4135347,148.2781622
1855,-41.4135347,148.2781622
1856,47.6038321,-122.3300623
1865,42.3756401,-71.2358003
1868,53.3497645,-6.2602731
1869,34.9076435,135.819785
1873,43.6529206,-79.3849007
1877,48.8566101,2.3514992
1881,26.1223084,-80.1433785
1883,8.3096067,-81.3066245
1884,55.7506828,37.6174976
1886,47.2837132,-1.1177290443625
1888,39.2908816,-76.6107589
1900,37.5600336,-122.2688521
1901,37.7792808,-122.4192362
1902,37.7792808,-122.4192362
1904,39.3894185,-104.747967038037
1905,39.2908816,-76.6107589
1906,37.5600336,-122.2688521
1907,40.7305991,-73.9865811
1913,39.7391536,-104.9847033
1923,8.9714493,-79.5341801
1924,22.3157346,114.2600807
1925,47.6038321,-122.3300623
1930,37.442156,-122.1634471
1933,37.496904,-122.3330572
1934,19.32988935,-81.1712870647512
1936,41.150651,-73.9454158
1937,37.442156,-122.1634471
1939,45.497684,-73.6125179
1941,33.5091215,-111.8992364
1942,25.0783456,-77.338333
1943,44.9127229,-93.4990589
1944,43.6529206,-79.3849007
1952,41.2939386,-82.2173785
1957,50.938361,6.959974
1958,47.6144219,-122.1923371
1959,26.3586885,-80.0830983
1962,-4.6803696,55.4823125
1963,17.1393977,-62.6216153
1968,-27.4562466,153.0358184
1969,42.2681569,-83.731229
1970,41.5733669,-87.7844943
1973,55.7506828,37.6174976
1975,8.3096067,-81.3066245
1976,8.3096067,-81.3066245
1977,-28.0591421,153.4392132
1978,30.3321838,-81.6556509
1981,47.6859573,-122.1920248
1986,39.7391536,-104.9847033
1987,38.9584018,-77.3579742
1991,35.823483,-78.825562
1992,29.7589382,-95.3676973
1994,50.938361,6.959974
1995,50.938361,6.959974
1998,28.4646148,77.0299194
2001,34.1476452,-118.1444778
2002,34.1727967,-118.5533689
2004,40.7305991,-73.9865811
2007,36.1662859,-115.1492249
2008,49.6319031,6.2672692
2009,47.6038321,-122.3300623
2010,47.6038321,-122.3300623
2011,45.3698807,5.5851632
2012,44.9772995,-93.2654691
2014,43.6529206,-79.3849007
2016,43.6529206,-79.3849007
2019,36.1662859,-115.1492249
2024,37.3361905,-121.8905832
2030,40.4933095,-3.8758395
2031,48.8566101,2.3514992
2033,37.7792808,-122.4192362
2034,60.1674086,24.9425683
2037,-34.9059038,-56.1913568
2039,51.5073219,-0.1276473
2048,39.8366528,-105.0372045
2051,20.902437,-156.3725279
2052,17.98941055,-67.003225002197
2053,48.8126229,2.2387564
2065,52.2319237,21.0067265
2071,55.6867243,12.5700724
2085,52.1343369,4.6561357
2086,48.0024386,12.4021386
2090,48.884683,2.2695658
2093,43.6529206,-79.3849007
2095,38.9695316,-77.3859478
2098,-41.4135347,148.2781622
2101,52.5170365,13.3888599
2107,39.2908816,-76.6107589
2110,59.3251172,18.0710935
2112,57.6263877,39.8933705
2113,1.2904527,103.852038
2114,40.7305991,-73.9865811
2117,43.6529206,-79.3849007
2121,48.6454528,-2.0154179
2122,8.3096067,-81.3066245
2126,35.9940329,-78.8986189
2131,8.3096067,-81.3066245
2133,47.6859573,-122.1920248
2134,34.019657,-118.4875489
2136,52.09037975,-1.93592312460173
2138,38.2097967,-84.558831
2139,37.496904,-122.3330572
2141,52.2033051,0.124862
2151,55.9495628,-3.1914971
2155,26.1223084,-80.1433785
2157,55.7029296,13.1929449
2161,1.2904527,103.852038
2162,55.7029296,13.1929449
2164,41.1175966,-73.4078967
2165,26.1223084,-80.1433785
2166,41.018139,-75.9949251
2170,-27.4562466,153.0358184
2171,53.3497645,-6.2602731
2172,37.3361905,-121.8905832
2175,-33.8679573,151.210047
2180,30.3321838,-81.6556509
2187,39.8366528,-105.0372045
2191,59.3251172,18.0710935
2194,33.4485866,-112.0773455
2196,8.3096067,-81.3066245
2197,36.1451465,-5.3484847
2198,52.09037975,-1.93592312460173
2199,49.6319031,6.2672692
2200,-36.8534664,174.7655514
2201,28.5421175,-81.3790461
2202,40.0726519,-75.4562462411158
2203,40.7305991,-73.9865811
2204,39.7391536,-104.9847033
2205,30.001852,-90.1767148159888
2206,40.7305991,-73.9865811
2207,40.7305991,-73.9865811
2208,39.7589478,-84.1916068
2211,17.98941055,-67.003225002197
2212,17.98941055,-67.003225002197
2213,51.2973261,6.8493503
2214,52.09037975,-1.93592312460173
2215,37.8314089,-122.2865265
2216,-27.5973001,-48.5496097
2217,18.4045003,98.6768827
2222,30.3321838,-81.6556509
2223,-4.6231295,55.4523147
2224,51.5142273,7.4652789
2225,28.6138967,77.2159562
2226,50.4544452,30.406895810556
2228,33.7483311,-118.3707682
2229,51.5073219,-0.1276473
2230,34.1683386,-118.6059196
2231,25.7742658,-80.1936588
2232,47.3545519,9.07532116771581
2234,-27.4562466,153.0358184
2236,51.5028903,-0.2188441
2241,34.1458389,-118.8056473
2242,34.1458389,-118.8056473
2243,35.643053,139.739881
2244,22.3115797,114.187145
2245,45.7733105,4.8869339
2247,39.7391536,-104.9847033
2250,33.1580933,-117.3505938
2251,51.5073219,-0.1276473
2253,37.7792808,-122.4192362
2255,30.3321838,-81.6556509
2260,40.7305991,-73.9865811
2261,38.9584018,-77.3579742
2265,37.7792808,-122.4192362
2269,30.3321838,-81.6556509
2278,51.5073219,-0.1276473
2280,48.1371079,11.5753822
2282,48.8566101,2.3514992
2283,26.62121345,-80.0626731782044
2284,46.122987,-70.6719589
2286,42.3653753,-71.034217
2290,50.8031684,6.4820806
2294,45.5202471,-122.6741948
2295,26.1223084,-80.1433785
2299,51.92779805,4.48862326925829
2300,-33.3763314,151.248896
2301,35.1490215,-90.0516284
2311,8.3096067,-81.3066245
2314,47.6859573,-122.1920248
2315,45.5202471,-122.6741948
2325,25.0783456,-77.338333
2332,30.3321838,-81.6556509
2335,34.704365,135.501887
2337,8.3096067,-81.3066245
2338,47.6038321,-122.3300623
2339,49.6319031,6.2672692
2342,36.1662859,-115.1492249
2344,43.7709163,-79.4124101
2345,47.6859573,-122.1920248
2346,2.74378195,101.711611882937
2347,53.550341,10.000654
2348,37.3688301,-122.0363495
2349,37.3688301,-122.0363495
2350,40.7305991,-73.9865811
2352,52.5170365,13.3888599
2353,42.3604823,-71.0595677
2355,17.1184569,-61.8448508
2357,52.5170365,13.3888599
2358,47.6859573,-122.1920248
2359,37.7792808,-122.4192362
2360,51.6422165,0.0721848
2362,36.1662859,-115.1492249
2364,30.3321838,-81.6556509
2365,34.712209,135.50565
2366,34.1458389,-118.8056473
